posx RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,posy RSUExampleScenario.node[0].veinsmobility (WithoutChannelSwitching-0-20180122-12:35:47-43032),,,x,y
1,40.26732316,1,33.25,,15.26732316,991.75
2,40.26732316,2,33.25,,15.26732316,991.75
3,41.21799421,3,33.25,,16.21799421,991.75
4,42.724988,4,33.25,,17.724988,991.75
5,44.77680723,5,33.25,,19.77680723,991.75
6,47.38960698,6,33.25,,22.38960698,991.75
7,50.60089519,7,33.25,,25.60089519,991.75
8,54.37139511,8,33.25,,29.37139511,991.75
9,58.68886899,9,33.25,,33.68886899,991.75
10,63.58413242,10,33.25,,38.58413242,991.75
11,69.01850834,11,33.25,,44.01850834,991.75
12,75.08169095,12,33.25,,50.08169095,991.75
13,81.77750305,13,33.25,,56.77750305,991.75
14,89.040542,14,33.25,,64.040542,991.75
15,96.88446888,15,33.25,,71.88446888,991.75
16,105.3036605,16,33.25,,80.30366053,991.75
17,114.302005,17,33.25,,89.30200504,991.75
18,123.9227998,18,33.25,,98.92279976,991.75
19,134.1388007,19,33.25,,109.1388007,991.75
20,144.9443828,20,33.25,,119.9443828,991.75
21,156.3468651,21,33.25,,131.3468651,991.75
22,168.3682483,22,33.25,,143.3682483,991.75
23,181.0059108,23,33.25,,156.0059108,991.75
24,194.2496263,24,33.25,,169.2496263,991.75
25,208.0322078,25,33.25,,183.0322078,991.75
26,221.8977446,26,33.25,,196.8977446,991.75
27,235.7684758,27,33.25,,210.7684758,991.75
28,249.6425088,28,33.25,,224.6425088,991.75
29,263.5099878,29,33.25,,238.5099878,991.75
30,277.3783638,30,33.25,,252.3783638,991.75
31,291.2447133,31,33.25,,266.2447133,991.75
32,305.116781,32,33.25,,280.116781,991.75
33,318.9851114,33,33.25,,293.9851114,991.75
34,332.8495673,34,33.25,,307.8495673,991.75
35,346.7192323,35,33.25,,321.7192323,991.75
36,360.5864533,36,33.25,,335.5864533,991.75
37,374.4548215,37,33.25,,349.4548215,991.75
38,388.3248208,38,33.25,,363.3248208,991.75
39,402.1975781,39,33.25,,377.1975781,991.75
40,416.0638483,40,33.25,,391.0638483,991.75
41,429.9385669,41,33.25,,404.9385669,991.75
42,443.8042117,42,33.25,,418.8042117,991.75
43,457.6712889,43,33.25,,432.6712889,991.75
44,471.5407415,44,33.25,,446.5407415,991.75
